cidade,bairro,weekday,mean_count,index,proportion
Fortaleza,CURIÓ,Quarta-feira,5.0,1.25,0.20833333333333334
Fortaleza,CURIÓ,Quinta-feira,2.0,0.5,0.08333333333333333
Fortaleza,CURIÓ,Segunda-feira,1.0,0.25,0.041666666666666664
Fortaleza,CURIÓ,Sexta-feira,5.0,1.25,0.20833333333333334
Fortaleza,CURIÓ,Sábado,7.0,1.75,0.2916666666666667
Fortaleza,DAMAS,Quinta-feira,1.0,1.0,0.3333333333333333
Fortaleza,DAMAS,Segunda-feira,1.0,1.0,0.3333333333333333
Fortaleza,DAMAS,Terça-feira,1.0,1.0,0.3333333333333333
Fortaleza,DEMÓCRITO ROCHA,Domingo,3.0,1.2857142857142856,0.42857142857142855
Fortaleza,DEMÓCRITO ROCHA,Segunda-feira,2.0,0.8571428571428571,0.2857142857142857
Fortaleza,DEMÓCRITO ROCHA,Sexta-feira,2.0,0.8571428571428571,0.2857142857142857
Fortaleza,DIAS MACÊDO,Domingo,2.0,1.1666666666666667,0.16666666666666666
Fortaleza,DIAS MACÊDO,Quarta-feira,2.0,1.1666666666666667,0.16666666666666666
Fortaleza,DIAS MACÊDO,Quinta-feira,2.0,1.1666666666666667,0.16666666666666666
Fortaleza,DIAS MACÊDO,Segunda-feira,1.0,0.5833333333333334,0.08333333333333333
Fortaleza,DIAS MACÊDO,Sexta-feira,1.0,0.5833333333333334,0.08333333333333333
Fortaleza,DIAS MACÊDO,Sábado,1.0,0.5833333333333334,0.08333333333333333
Fortaleza,DIAS MACÊDO,Terça-feira,3.0,1.75,0.25
Fortaleza,DIONÍSIO TORRES,Quinta-feira,1.0,1.0,1.0
Fortaleza,DOM LUSTOSA,Domingo,4.0,1.8461538461538463,0.3076923076923077
Fortaleza,DOM LUSTOSA,Quarta-feira,1.0,0.46153846153846156,0.07692307692307693
Fortaleza,DOM LUSTOSA,Quinta-feira,2.0,0.9230769230769231,0.15384615384615385
Fortaleza,DOM LUSTOSA,Sexta-feira,2.0,0.9230769230769231,0.15384615384615385
Fortaleza,DOM LUSTOSA,Sábado,3.0,1.3846153846153848,0.23076923076923078
Fortaleza,DOM LUSTOSA,Terça-feira,1.0,0.46153846153846156,0.07692307692307693
Fortaleza,EDSON QUEIROZ,Domingo,8.0,1.3023255813953487,0.18604651162790697
Fortaleza,EDSON QUEIROZ,Quarta-feira,6.0,0.9767441860465116,0.13953488372093023
Fortaleza,EDSON QUEIROZ,Quinta-feira,5.0,0.813953488372093,0.11627906976744186
Fortaleza,EDSON QUEIROZ,Segunda-feira,8.0,1.3023255813953487,0.18604651162790697
Fortaleza,EDSON QUEIROZ,Sexta-feira,4.0,0.6511627906976744,0.09302325581395349
Fortaleza,EDSON QUEIROZ,Sábado,9.0,1.4651162790697674,0.20930232558139536
Fortaleza,EDSON QUEIROZ,Terça-feira,3.0,0.4883720930232558,0.06976744186046512
Fortaleza,ELLERY,Quarta-feira,1.0,1.0,0.5
Fortaleza,ELLERY,Segunda-feira,1.0,1.0,0.5
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Domingo,1.0,0.7,0.1
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Quarta-feira,2.0,1.4,0.2
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Quinta-feira,1.0,0.7,0.1
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Segunda-feira,2.0,1.4,0.2
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Sexta-feira,2.0,1.4,0.2
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Sábado,1.0,0.7,0.1
Fortaleza,ENGENHEIRO LUCIANO CAVALCANTE,Terça-feira,1.0,0.7,0.1
Fortaleza,FARIAS BRITO,Quarta-feira,1.0,0.6,0.1
Fortaleza,FARIAS BRITO,Quinta-feira,1.0,0.6,0.1
Fortaleza,FARIAS BRITO,Segunda-feira,1.0,0.6,0.1
Fortaleza,FARIAS BRITO,Sexta-feira,2.0,1.2,0.2
Fortaleza,FARIAS BRITO,Sábado,3.0,1.7999999999999998,0.3
Fortaleza,FARIAS BRITO,Terça-feira,2.0,1.2,0.2
Fortaleza,FLORESTA,Domingo,4.0,1.037037037037037,0.14814814814814814
Fortaleza,FLORESTA,Quarta-feira,7.0,1.8148148148148149,0.25925925925925924
Fortaleza,FLORESTA,Quinta-feira,3.0,0.7777777777777778,0.1111111111111111
Fortaleza,FLORESTA,Segunda-feira,2.0,0.5185185185185185,0.07407407407407407
Fortaleza,FLORESTA,Sexta-feira,5.0,1.2962962962962963,0.18518518518518517
Fortaleza,FLORESTA,Sábado,5.0,1.2962962962962963,0.18518518518518517
Fortaleza,FLORESTA,Terça-feira,1.0,0.25925925925925924,0.037037037037037035
Fortaleza,FÁTIMA,Domingo,4.0,1.6666666666666667,0.3333333333333333
Fortaleza,FÁTIMA,Quarta-feira,2.0,0.8333333333333334,0.16666666666666666
Fortaleza,FÁTIMA,Quinta-feira,3.0,1.25,0.25
Fortaleza,FÁTIMA,Segunda-feira,2.0,0.8333333333333334,0.16666666666666666
Fortaleza,FÁTIMA,Sábado,1.0,0.4166666666666667,0.08333333333333333
Fortaleza,GENIBAÚ,Domingo,5.0,1.206896551724138,0.1724137931034483
Fortaleza,GENIBAÚ,Quarta-feira,2.0,0.48275862068965514,0.06896551724137931
Fortaleza,GENIBAÚ,Quinta-feira,2.0,0.48275862068965514,0.06896551724137931
Fortaleza,GENIBAÚ,Segunda-feira,5.0,1.206896551724138,0.1724137931034483
Fortaleza,GENIBAÚ,Sexta-feira,3.0,0.7241379310344827,0.10344827586206896
Fortaleza,GENIBAÚ,Sábado,7.0,1.689655172413793,0.2413793103448276
Fortaleza,GENIBAÚ,Terça-feira,5.0,1.206896551724138,0.1724137931034483
Fortaleza,GRANJA LISBOA,Domingo,22.0,1.4259259259259258,0.2037037037037037
Fortaleza,GRANJA LISBOA,Quarta-feira,9.0,0.5833333333333334,0.08333333333333333
Fortaleza,GRANJA LISBOA,Quinta-feira,14.0,0.9074074074074074,0.12962962962962962
Fortaleza,GRANJA LISBOA,Segunda-feira,14.0,0.9074074074074074,0.12962962962962962
Fortaleza,GRANJA LISBOA,Sexta-feira,9.0,0.5833333333333334,0.08333333333333333
Fortaleza,GRANJA LISBOA,Sábado,27.0,1.75,0.25
Fortaleza,GRANJA LISBOA,Terça-feira,13.0,0.8425925925925926,0.12037037037037036
Fortaleza,GRANJA PORTUGAL,Domingo,12.0,1.5,0.21428571428571427
Fortaleza,GRANJA PORTUGAL,Quarta-feira,5.0,0.625,0.08928571428571429
Fortaleza,GRANJA PORTUGAL,Quinta-feira,7.0,0.875,0.125
Fortaleza,GRANJA PORTUGAL,Segunda-feira,5.0,0.625,0.08928571428571429
Fortaleza,GRANJA PORTUGAL,Sexta-feira,9.0,1.125,0.16071428571428573
Fortaleza,GRANJA PORTUGAL,Sábado,10.0,1.25,0.17857142857142858
Fortaleza,GRANJA PORTUGAL,Terça-feira,8.0,1.0,0.14285714285714285
Fortaleza,GUAJERU,Domingo,6.0,2.0,0.3333333333333333
Fortaleza,GUAJERU,Quarta-feira,1.0,0.3333333333333333,0.05555555555555555
Fortaleza,GUAJERU,Quinta-feira,2.0,0.6666666666666666,0.1111111111111111
Fortaleza,GUAJERU,Segunda-feira,2.0,0.6666666666666666,0.1111111111111111
Fortaleza,GUAJERU,Sábado,5.0,1.6666666666666667,0.2777777777777778
Fortaleza,GUAJERU,Terça-feira,2.0,0.6666666666666666,0.1111111111111111
Fortaleza,HENRIQUE JORGE,Domingo,5.0,1.5789473684210527,0.2631578947368421
Fortaleza,HENRIQUE JORGE,Quarta-feira,2.0,0.6315789473684211,0.10526315789473684
Fortaleza,HENRIQUE JORGE,Quinta-feira,5.0,1.5789473684210527,0.2631578947368421
Fortaleza,HENRIQUE JORGE,Sexta-feira,4.0,1.2631578947368423,0.21052631578947367
Fortaleza,HENRIQUE JORGE,Sábado,1.0,0.31578947368421056,0.05263157894736842
Fortaleza,HENRIQUE JORGE,Terça-feira,2.0,0.6315789473684211,0.10526315789473684
Fortaleza,ITAOCA,Domingo,1.0,0.625,0.125
Fortaleza,ITAOCA,Quarta-feira,1.0,0.625,0.125
Fortaleza,ITAOCA,Quinta-feira,3.0,1.875,0.375
Fortaleza,ITAOCA,Sexta-feira,1.0,0.625,0.125
Fortaleza,ITAOCA,Terça-feira,2.0,1.25,0.25
Fortaleza,ITAPERI,Quarta-feira,3.0,1.5,0.3
Fortaleza,ITAPERI,Quinta-feira,1.0,0.5,0.1
Fortaleza,ITAPERI,Segunda-feira,1.0,0.5,0.1
Fortaleza,ITAPERI,Sábado,2.0,1.0,0.2
Fortaleza,ITAPERI,Terça-feira,3.0,1.5,0.3
Fortaleza,JACARECANGA,Domingo,5.0,1.206896551724138,0.1724137931034483
Fortaleza,JACARECANGA,Quarta-feira,2.0,0.48275862068965514,0.06896551724137931
Fortaleza,JACARECANGA,Quinta-feira,2.0,0.48275862068965514,0.06896551724137931
Fortaleza,JACARECANGA,Segunda-feira,7.0,1.689655172413793,0.2413793103448276
Fortaleza,JACARECANGA,Sexta-feira,1.0,0.24137931034482757,0.034482758620689655
Fortaleza,JACARECANGA,Sábado,6.0,1.4482758620689653,0.20689655172413793
Fortaleza,JACARECANGA,Terça-feira,6.0,1.4482758620689653,0.20689655172413793
Fortaleza,JANGURUSSU,Domingo,26.0,1.1666666666666667,0.16666666666666666
Fortaleza,JANGURUSSU,Quarta-feira,18.0,0.8076923076923077,0.11538461538461539
Fortaleza,JANGURUSSU,Quinta-feira,26.0,1.1666666666666667,0.16666666666666666
Fortaleza,JANGURUSSU,Segunda-feira,22.0,0.9871794871794872,0.14102564102564102
Fortaleza,JANGURUSSU,Sexta-feira,17.0,0.7628205128205129,0.10897435897435898
Fortaleza,JANGURUSSU,Sábado,19.0,0.8525641025641026,0.12179487179487179
Fortaleza,JANGURUSSU,Terça-feira,28.0,1.2564102564102564,0.1794871794871795
Fortaleza,JARDIM AMÉRICA,Domingo,3.0,1.7142857142857142,0.42857142857142855
Fortaleza,JARDIM AMÉRICA,Quarta-feira,1.0,0.5714285714285714,0.14285714285714285
Fortaleza,JARDIM AMÉRICA,Quinta-feira,2.0,1.1428571428571428,0.2857142857142857
Fortaleza,JARDIM AMÉRICA,Sábado,1.0,0.5714285714285714,0.14285714285714285
