year_month,bairro,procedimentos,armas_sequestradas,drogas_kg,dinheiro_reais,homicidios
2021-02,ALTO DO JUCÁ,1,0,43.0,969.15,0
2021-02,ALTO DO MOTOR,1,0,140.0,0.0,0
2021-02,ALTO GUARAMIRANGA,1,0,0.0,0.0,0
2021-02,ALTO SÃO JOÃO,1,1,0.0,0.0,0
2021-02,ALVARO WEYNER,1,0,0.0,0.0,0
2021-02,ANCURI,3,1,162.0,0.0,0
2021-02,ANTÔNIO MIGUEL,1,0,397.0,235.0,0
2021-02,ANTÔNIO VIEIRA,1,1,0.9,50.0,0
2021-02,APOSSADOS,1,0,8.0,65.0,0
2021-02,ARASSÁ,1,1,0.0,0.0,1
2021-02,ARATURI,1,0,27.0,79.0,0
2021-02,ARIANOPOLES,1,0,5.0,0.0,0
2021-02,ARVOREDO,1,0,0.0,0.0,0
2021-02,ASSENTAMENTO BOA ESPERANÇA,1,1,0.0,88.0,0
2021-02,AUTRAN NUNES,1,0,0.0,0.0,0
2021-02,AÇUDE VELHO,2,1,34.0,1050.3,0
2021-02,BAIRRO DE FÁTIMA,1,0,0.0,0.0,0
2021-02,BAIRRO ELLERY,1,0,0.0,0.0,1
2021-02,BAIRRO HORTO,1,0,0.0,0.0,0
2021-02,BAIXIO,1,0,0.5,480.0,0
2021-02,BARRA DO CEARÁ,8,0,181.0,724.95,0
2021-02,BEIRA RIO,1,1,0.0,0.0,0
2021-02,BELA VISTA,3,0,25.0,0.0,0
2021-02,BELEZA,1,0,0.0,0.0,0
2021-02,BEM VIVER,1,1,0.0,0.0,0
2021-02,BENFCA,1,0,0.0,0.0,0
2021-02,BEZERRA DE SOUZA,1,0,0.0,0.0,0
2021-02,BITUPITA,1,1,666.0,373.2,0
2021-02,BOA ESPERANÇA,2,0,16.0,0.0,0
2021-02,BOA VISTA,1,1,0.0,0.0,0
2021-02,BOAVIAGINHA,1,1,0.0,60.0,0
2021-02,BOM JARDIM,21,4,384.4,178482.5,0
2021-02,BOM JRADIM,1,0,0.0,0.0,0
2021-02,BOM NOME,1,0,0.0,0.0,0
2021-02,BONSUCESSO,1,0,0.0,0.0,0
2021-02,BRASILIA,1,0,48.0,0.0,0
2021-02,BRASÍLIA,1,0,0.0,0.0,0
2021-02,BROTOLANDIA,1,0,0.0,0.0,0
2021-02,BUENO AIRES,1,0,3230.0,0.0,0
2021-02,BURITI,2,2,1219.3,116.65,0
2021-02,CABATAN,1,0,3.7,0.0,0
2021-02,CACHOEIRA,2,4,0.0,0.0,1
2021-02,CAIXA D’ÁGUA,1,1,0.0,0.0,0
2021-02,CAIÇARA,3,0,1079.0,325.5,0
2021-02,CAIÇOLA,1,0,65.0,1077.45,0
2021-02,CAJÁS,1,0,0.0,290.0,0
2021-02,CAMPO DO JORDÃO,1,0,18.0,0.0,0
2021-02,CAMPO SEMENTE,1,0,4.2,0.0,0
2021-02,CANDEIA SÃO SEBASTIÃO,1,3,0.0,0.0,0
2021-02,CANINDEZINHO,4,1,0.0,429.0,0
2021-02,CANOA QUEBRADA,1,1,0.0,0.0,0
2021-02,CANONDEZINHO,1,0,46.0,236.1,0
2021-02,CAPONGA,1,0,0.0,0.0,0
2021-02,CAPUAN,1,0,6.0,111.0,0
2021-02,CARANGUEJO,1,1,0.0,470.0,0
2021-02,CARIOCA,1,1,8.5,150.0,0
2021-02,CARLITO PAMPLONA,4,2,720.0,0.0,0
2021-02,CARQUEJA,1,0,0.0,0.0,0
2021-02,CASTELO,1,0,0.0,0.0,0
2021-02,CASTELÃO,3,0,75.0,55.0,0
2021-02,CATATU,1,0,14.3,0.0,0
2021-02,CEL. AUGUSTO LIMA,1,0,0.0,0.0,0
2021-02,CENTRO,37,5,885.9,3397.35,4
2021-02,CIDADE JARDIM 2,1,0,0.0,0.0,0
2021-02,CINZAS,1,0,88.8,5.0,0
2021-02,COAÇU,3,3,0.0,0.0,2
2021-02,CONJUNTO CEARÁ,3,0,136.0,40.0,0
2021-02,CONJUNTO ESPERANÇA,2,2,6.0,0.0,0
2021-02,CONJUNTO HABITACIONAL ROGÉRIO MONTEIRO,1,0,13.0,0.0,0
2021-02,CONJUNTO INDUSTRIAL,1,1,0.0,0.0,0
2021-02,CONJUNTO METROPOLITANO,1,0,73.0,110.0,0
2021-02,CONJUNTO NETROPOLITANO,1,0,0.0,0.0,0
2021-02,CONJUNTO PALMEIRAS,3,2,0.0,0.0,0
2021-02,CONSELHEIRO ESTELINA,1,0,3.0,0.0,0
2021-02,COQUEIRINHO,2,1,231.0,190.0,0
2021-02,COQUEIROS,1,0,0.0,0.0,0
2021-02,COUTO FERNANDES,1,0,1.1,338.25,0
2021-02,CRISTO REDENTOR,4,0,7.0,0.0,0
2021-02,CROATA 2,1,0,0.0,25.0,0
2021-02,CROATÁ 2,1,0,0.0,120.0,0
2021-02,CRUZEIRO,1,0,662.0,1878.0,0
2021-02,CÁGADO,1,2,0.0,0.0,0
2021-02,CÓRREGO GRANDE,1,0,46.0,0.0,0
2021-02,D2,1,0,21.9,30.0,0
2021-02,DEDÉ GAMA,1,1,65.0,30.0,0
2021-02,DEMOCRITO ROCHA,1,0,0.0,0.0,0
2021-02,DEPOSITO,1,0,0.0,0.0,0
2021-02,DISTRITO DE MAPUÁ,1,2,0.0,0.0,0
2021-02,DISTRITO DO ACARAPE,1,0,0.0,0.0,0
2021-02,DOIS DE AGOSTO,1,0,8.0,10.0,0
2021-02,DOM EXPEDITO,1,1,0.0,0.0,0
2021-02,DOM JOSÉ 2,1,0,0.0,0.0,0
2021-02,DOM TIMÓTEO,2,0,0.0,0.0,1
2021-02,DOURADO,1,1,0.0,89.0,0
2021-02,ELLERY,1,0,3.0,40.0,0
2021-02,EMBOACA,1,1,0.0,0.0,0
2021-02,ESCOLA NORMAL,1,0,712.0,172.0,0
2021-02,FATIMA I,2,0,0.0,48.0,0
2021-02,FIGUEIREDO DO EPIFÂNIO,1,1,56.7,135.35,0
2021-02,FLAMENGA DOS FERREIRA,1,0,0.0,0.0,0
2021-02,FLAMENGA DOS FERREIRAS,1,1,0.0,0.0,0
2021-02,FLORES,3,0,219.6,621.0,0
2021-02,FLORESTA,3,0,26.0,62.0,0
2021-02,FRECHEIRAS,1,0,0.0,0.0,0
2021-02,FREI DAMIÃO,1,0,0.0,0.0,0
2021-02,FREI GALVÃO,1,0,0.0,0.0,0
2021-02,FÁTIMA,2,0,5.0,71.0,0
2021-02,FÁTIMA I,3,0,3.0,603.1,0
2021-02,GENIBAU,1,0,172.0,0.0,0
2021-02,GENIBAÚ,1,0,15.0,154.0,0
2021-02,GISELE PINHEIRO,1,0,0.0,0.0,0
2021-02,GRANJA LISBOA,6,1,0.0,67.0,0
2021-02,GRANJA PORTUGAL,4,2,22.0,133.0,0
2021-02,HENRIQUE JORGE,2,0,0.0,0.0,0
2021-02,HORTO,1,1,254.5,1298.0,0
2021-02,IPASE,1,0,55.0,108.0,0
2021-02,ITAMBÉ,1,0,0.0,0.0,0
2021-02,ITAPERI,2,0,0.0,0.0,0
2021-02,ITAPERY,2,0,106.0,66.35,0
2021-02,JABUTI,1,1,0.0,0.0,0
2021-02,JACARECANGA,1,0,162.0,0.0,0
2021-02,JANGURUSSU,4,1,75.0,153.6,1
2021-02,JARDIM DAS OLIVEIRAS,1,1,0.0,0.0,0
2021-02,JARDIM DOS MOLITOS,1,0,519.0,0.0,0
2021-02,JARDIM GONZAGA,1,0,0.0,0.0,0
2021-02,JARDIM GUANABARA,1,1,0.0,0.0,0
2021-02,JARDIM IRACEMA,3,0,0.0,348.0,0
2021-02,JARDIM OASIS,1,0,513.0,530.25,0
2021-02,JARDIM PRIMAVERA,1,0,0.0,0.0,0
2021-02,JARDIM VIOLETA,1,0,0.0,0.0,0
2021-02,JEREISSATI II,1,0,0.0,0.0,0
2021-02,JOAQUIM TAVORA,1,0,0.0,0.0,0
2021-02,JOSE WALTER,1,0,0.0,0.0,0
2021-02,JOSÉ OSIMO,1,0,0.0,65.0,0
2021-02,JOSÉ WALTER,6,2,3.4,92.0,0
2021-02,JUBINA,1,0,0.6,0.0,0
2021-02,JUERMA,1,0,959.0,99.0,0
2021-02,JUNCO,2,0,0.0,0.0,0
2021-02,JUREMA,1,0,0.0,0.0,0
2021-02,JURITIANHA,1,0,0.0,0.0,0
2021-02,LAGAMAR,1,0,0.0,0.0,0
2021-02,LAGOA SECA,1,0,18.0,47.0,0
2021-02,LIMOEIRO,1,2,0.0,0.0,0
2021-02,LOTEAMENTO,1,0,0.0,0.0,0
2021-02,LOTEAMENTO NOVO AQUIRAZ,1,0,3.7,74.0,0
2021-02,MALVINAS,1,0,32.0,0.0,0
2021-02,MANGA,1,0,0.0,0.0,0
2021-02,MANGABEIRA,1,1,0.0,0.0,0
