cidade,bairro,hour,mean_count,index,proportion
Fortaleza,BOA VISTA/CASTELÃO,23,3.0,1.5483870967741935,0.0967741935483871
Fortaleza,BOM FUTURO,20,3.0,1.0,1.0
Fortaleza,BOM JARDIM,1,1.0,0.35185185185185186,0.018518518518518517
Fortaleza,BOM JARDIM,2,3.0,1.0555555555555556,0.05555555555555555
Fortaleza,BOM JARDIM,3,1.0,0.35185185185185186,0.018518518518518517
Fortaleza,BOM JARDIM,4,1.0,0.35185185185185186,0.018518518518518517
Fortaleza,BOM JARDIM,5,5.0,1.7592592592592593,0.09259259259259259
Fortaleza,BOM JARDIM,6,2.0,0.7037037037037037,0.037037037037037035
Fortaleza,BOM JARDIM,7,1.0,0.35185185185185186,0.018518518518518517
Fortaleza,BOM JARDIM,8,1.0,0.35185185185185186,0.018518518518518517
Fortaleza,BOM JARDIM,11,2.0,0.7037037037037037,0.037037037037037035
Fortaleza,BOM JARDIM,12,1.0,0.35185185185185186,0.018518518518518517
Fortaleza,BOM JARDIM,14,1.0,0.35185185185185186,0.018518518518518517
Fortaleza,BOM JARDIM,15,2.0,0.7037037037037037,0.037037037037037035
Fortaleza,BOM JARDIM,16,11.0,3.8703703703703702,0.2037037037037037
Fortaleza,BOM JARDIM,17,2.0,0.7037037037037037,0.037037037037037035
Fortaleza,BOM JARDIM,18,3.0,1.0555555555555556,0.05555555555555555
Fortaleza,BOM JARDIM,19,6.0,2.111111111111111,0.1111111111111111
Fortaleza,BOM JARDIM,20,1.0,0.35185185185185186,0.018518518518518517
Fortaleza,BOM JARDIM,21,2.0,0.7037037037037037,0.037037037037037035
Fortaleza,BOM JARDIM,22,8.0,2.814814814814815,0.14814814814814814
Fortaleza,BONSUCESSO,1,3.0,1.3043478260869565,0.06521739130434782
Fortaleza,BONSUCESSO,2,3.0,1.3043478260869565,0.06521739130434782
Fortaleza,BONSUCESSO,3,1.0,0.4347826086956522,0.021739130434782608
Fortaleza,BONSUCESSO,5,3.0,1.3043478260869565,0.06521739130434782
Fortaleza,BONSUCESSO,6,3.0,1.3043478260869565,0.06521739130434782
Fortaleza,BONSUCESSO,9,2.0,0.8695652173913044,0.043478260869565216
Fortaleza,BONSUCESSO,10,1.0,0.4347826086956522,0.021739130434782608
Fortaleza,BONSUCESSO,11,1.0,0.4347826086956522,0.021739130434782608
Fortaleza,BONSUCESSO,12,2.0,0.8695652173913044,0.043478260869565216
Fortaleza,BONSUCESSO,13,1.0,0.4347826086956522,0.021739130434782608
Fortaleza,BONSUCESSO,14,2.0,0.8695652173913044,0.043478260869565216
Fortaleza,BONSUCESSO,15,4.0,1.7391304347826089,0.08695652173913043
Fortaleza,BONSUCESSO,16,2.0,0.8695652173913044,0.043478260869565216
Fortaleza,BONSUCESSO,17,1.0,0.4347826086956522,0.021739130434782608
Fortaleza,BONSUCESSO,18,2.0,0.8695652173913044,0.043478260869565216
Fortaleza,BONSUCESSO,19,5.0,2.173913043478261,0.10869565217391304
Fortaleza,BONSUCESSO,20,5.0,2.173913043478261,0.10869565217391304
Fortaleza,BONSUCESSO,21,2.0,0.8695652173913044,0.043478260869565216
Fortaleza,BONSUCESSO,22,2.0,0.8695652173913044,0.043478260869565216
Fortaleza,BONSUCESSO,23,1.0,0.4347826086956522,0.021739130434782608
Fortaleza,CAIS DO PORTO,1,1.0,0.5652173913043479,0.043478260869565216
Fortaleza,CAIS DO PORTO,2,1.0,0.5652173913043479,0.043478260869565216
Fortaleza,CAIS DO PORTO,5,2.0,1.1304347826086958,0.08695652173913043
Fortaleza,CAIS DO PORTO,6,1.0,0.5652173913043479,0.043478260869565216
Fortaleza,CAIS DO PORTO,7,2.0,1.1304347826086958,0.08695652173913043
Fortaleza,CAIS DO PORTO,8,1.0,0.5652173913043479,0.043478260869565216
Fortaleza,CAIS DO PORTO,11,1.0,0.5652173913043479,0.043478260869565216
Fortaleza,CAIS DO PORTO,16,1.0,0.5652173913043479,0.043478260869565216
Fortaleza,CAIS DO PORTO,17,3.0,1.6956521739130435,0.13043478260869565
Fortaleza,CAIS DO PORTO,19,6.0,3.391304347826087,0.2608695652173913
Fortaleza,CAIS DO PORTO,21,1.0,0.5652173913043479,0.043478260869565216
Fortaleza,CAIS DO PORTO,22,2.0,1.1304347826086958,0.08695652173913043
Fortaleza,CAIS DO PORTO,23,1.0,0.5652173913043479,0.043478260869565216
Fortaleza,CAJAZEIRAS,0,1.0,0.5142857142857143,0.02857142857142857
Fortaleza,CAJAZEIRAS,3,1.0,0.5142857142857143,0.02857142857142857
Fortaleza,CAJAZEIRAS,4,3.0,1.542857142857143,0.08571428571428572
Fortaleza,CAJAZEIRAS,5,1.0,0.5142857142857143,0.02857142857142857
Fortaleza,CAJAZEIRAS,6,2.0,1.0285714285714287,0.05714285714285714
Fortaleza,CAJAZEIRAS,7,2.0,1.0285714285714287,0.05714285714285714
Fortaleza,CAJAZEIRAS,9,2.0,1.0285714285714287,0.05714285714285714
Fortaleza,CAJAZEIRAS,10,2.0,1.0285714285714287,0.05714285714285714
Fortaleza,CAJAZEIRAS,11,1.0,0.5142857142857143,0.02857142857142857
Fortaleza,CAJAZEIRAS,13,2.0,1.0285714285714287,0.05714285714285714
Fortaleza,CAJAZEIRAS,15,2.0,1.0285714285714287,0.05714285714285714
Fortaleza,CAJAZEIRAS,17,3.0,1.542857142857143,0.08571428571428572
Fortaleza,CAJAZEIRAS,18,3.0,1.542857142857143,0.08571428571428572
Fortaleza,CAJAZEIRAS,19,1.0,0.5142857142857143,0.02857142857142857
Fortaleza,CAJAZEIRAS,20,2.0,1.0285714285714287,0.05714285714285714
Fortaleza,CAJAZEIRAS,21,2.0,1.0285714285714287,0.05714285714285714
Fortaleza,CAJAZEIRAS,22,2.0,1.0285714285714287,0.05714285714285714
Fortaleza,CAJAZEIRAS,23,3.0,1.542857142857143,0.08571428571428572
Fortaleza,CAMBEBA,1,1.0,1.0,0.125
Fortaleza,CAMBEBA,8,1.0,1.0,0.125
Fortaleza,CAMBEBA,12,1.0,1.0,0.125
Fortaleza,CAMBEBA,13,1.0,1.0,0.125
Fortaleza,CAMBEBA,14,1.0,1.0,0.125
Fortaleza,CAMBEBA,19,1.0,1.0,0.125
Fortaleza,CAMBEBA,20,1.0,1.0,0.125
Fortaleza,CAMBEBA,22,1.0,1.0,0.125
Fortaleza,CANINDEZINHO,0,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,1,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,2,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,3,1.0,0.4888888888888889,0.022222222222222223
Fortaleza,CANINDEZINHO,4,1.0,0.4888888888888889,0.022222222222222223
Fortaleza,CANINDEZINHO,5,1.0,0.4888888888888889,0.022222222222222223
Fortaleza,CANINDEZINHO,6,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,7,5.0,2.4444444444444446,0.1111111111111111
Fortaleza,CANINDEZINHO,10,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,11,1.0,0.4888888888888889,0.022222222222222223
Fortaleza,CANINDEZINHO,12,3.0,1.4666666666666668,0.06666666666666667
Fortaleza,CANINDEZINHO,13,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,14,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,15,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,16,3.0,1.4666666666666668,0.06666666666666667
Fortaleza,CANINDEZINHO,17,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,18,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,19,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,20,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,21,1.0,0.4888888888888889,0.022222222222222223
Fortaleza,CANINDEZINHO,22,2.0,0.9777777777777777,0.044444444444444446
Fortaleza,CANINDEZINHO,23,3.0,1.4666666666666668,0.06666666666666667
