cidade,bairro,hour,count
Aquiraz,Chácara da Prainha,0,2
Aquiraz,Chácara da Prainha,2,1
Aquiraz,Chácara da Prainha,3,3
Aquiraz,Chácara da Prainha,5,1
Aquiraz,Chácara da Prainha,10,1
Aquiraz,Chácara da Prainha,14,1
Aquiraz,Chácara da Prainha,16,1
Aquiraz,Chácara da Prainha,17,1
Aquiraz,Chácara da Prainha,19,1
Aquiraz,Chácara da Prainha,21,1
Aquiraz,Chácara da Prainha,22,2
Aquiraz,Chácara da Prainha,23,3
Aquiraz,Comunidade das 13,22,1
Aquiraz,Comunidade das Treze,16,1
Aquiraz,Curiaca,16,1
Aquiraz,Cutreco,21,1
Aquiraz,Câmara,15,1
Aquiraz,Câmara,23,1
Aquiraz,Distrito de Patacas,21,1
Aquiraz,Divineia,1,1
Aquiraz,Divinéia,13,1
Aquiraz,Divinéia,16,1
Aquiraz,Divinéia,23,1
Aquiraz,Eldorado,23,1
Aquiraz,Estrada Boa Vista,0,1
Aquiraz,Estrada Nova,17,1
Aquiraz,Favela das 13,20,1
Aquiraz,Gruta,4,3
Aquiraz,Iguape,0,1
Aquiraz,Iguape,3,1
Aquiraz,Iguape,12,1
Aquiraz,Iguape,15,2
Aquiraz,Iguape,16,3
Aquiraz,Iguape,17,5
Aquiraz,Iguape,18,1
Aquiraz,Iguape,19,1
Aquiraz,Iguape,22,2
Aquiraz,Iguape,23,4
Aquiraz,Iguape-CE,0,1
Aquiraz,Jacunda,17,1
Aquiraz,Jacundá,2,1
Aquiraz,Jacundá,4,1
Aquiraz,Jacundá,12,1
Aquiraz,Jacundá,15,1
Aquiraz,Jacundá,16,1
Aquiraz,Jacundá,17,1
Aquiraz,Jacundá,18,1
Aquiraz,Jacundá,19,1
Aquiraz,Jacundá,21,1
Aquiraz,Jenipapeiro,15,1
Aquiraz,Jenipapero,23,1
Aquiraz,Jucandá,17,1
Aquiraz,Justiniano de Serpa,4,1
Aquiraz,KM 18,2,1
Aquiraz,Lagoa de Cima,15,1
Aquiraz,Lagoa de Cima,18,1
Aquiraz,Lagoa de Cima,22,1
Aquiraz,Lagoa de Cima,23,2
Aquiraz,Libânia,17,1
Aquiraz,Loteamento Novo Aquiraz,0,1
Aquiraz,Loteamento Novo Rumo,22,1
Aquiraz,Loteamento Parque das Fontes,13,1
Aquiraz,Loteamento das Flores,18,1
Aquiraz,Machuca,3,2
Aquiraz,Machuca,4,1
Aquiraz,Machuca,5,1
Aquiraz,Machuca,15,1
Aquiraz,Machuca,23,3
Aquiraz,Malvinas,1,1
Aquiraz,Novo Aquiraz,15,1
Aquiraz,Novo Rumo,4,1
Aquiraz,Novo Rumo,22,1
Aquiraz,Oiticica,21,2
Aquiraz,Palhoça Do Cleilson,0,1
Aquiraz,Parque Das Flores,11,1
Aquiraz,Parque das Flores,22,1
Aquiraz,Patacas,0,1
Aquiraz,Patacas,1,1
Aquiraz,Patacas,2,3
Aquiraz,Patacas,3,1
Aquiraz,Patacas,7,1
Aquiraz,Patacas,13,2
Aquiraz,Patacas,14,1
Aquiraz,Patacas,16,1
Aquiraz,Patacas,17,1
Aquiraz,Patacas,20,3
Aquiraz,Patacas,22,1
Aquiraz,Patacas,23,2
Aquiraz,Piau,1,1
Aquiraz,Piau,16,1
Aquiraz,Piau,18,1
Aquiraz,Piau,21,1
Aquiraz,Piaui,17,1
Aquiraz,Pindoba,14,1
Aquiraz,Pindoretama,22,1
Aquiraz,Porto das Dunas,1,1
Aquiraz,Porto das Dunas,2,1
Aquiraz,Porto das Dunas,3,1
Aquiraz,Porto das Dunas,8,1
Aquiraz,Porto das Dunas,17,1
Aquiraz,Porto das Dunas,23,1
Aquiraz,Praia Japão,17,1
Aquiraz,Praia do Iguape,0,1
Aquiraz,Praia do Presidio,16,1
Aquiraz,Prainha,0,4
Aquiraz,Prainha,1,1
Aquiraz,Prainha,2,1
Aquiraz,Prainha,4,1
Aquiraz,Prainha,8,1
Aquiraz,Prainha,11,1
Aquiraz,Prainha,12,2
Aquiraz,Prainha,13,1
Aquiraz,Prainha,14,2
Aquiraz,Prainha,15,1
Aquiraz,Prainha,16,1
Aquiraz,Prainha,17,2
Aquiraz,Prainha,18,4
Aquiraz,Prainha,19,3
Aquiraz,Prainha,20,2
Aquiraz,Prainha,21,2
Aquiraz,Prainha,22,3
Aquiraz,River Park,22,1
Aquiraz,Rotatória Do Japão,2,1
Aquiraz,Sítio Zé Maria,21,1
Aquiraz,Tabajara,2,1
Aquiraz,Tabajara,23,1
Aquiraz,Tabajaras,1,1
Aquiraz,Tapera,0,1
Aquiraz,Tapera,1,1
Aquiraz,Tapera,2,1
Aquiraz,Tapera,4,1
Aquiraz,Tapera,5,1
Aquiraz,Tapera,12,1
Aquiraz,Tapera,14,2
Aquiraz,Tapera,15,2
Aquiraz,Tapera,16,2
Aquiraz,Tapera,17,2
Aquiraz,Tapera,20,2
Aquiraz,Tapera,21,1
Aquiraz,Tapera,22,2
Aquiraz,Tapera,23,2
Aquiraz,Tapuiu,3,1
Aquiraz,Tapuiu,20,1
Aquiraz,Tapúio,18,1
Aquiraz,Trairuçu,17,1
Aquiraz,Tupuiu,16,1
Aquiraz,Tupuiú,15,1
Aquiraz,Vila Pagã,16,1
Aquiraz,Zona Rural,1,1
Aquiraz,Zona Rural,16,1
Aquiraz,Zona Rural,22,1
Aquiraz,Área Verde de Serpa,20,1
Aracati,-,23,1
Aracati,Abelardo Filho,23,1
Aracati,Alto da Cheia,19,1
Aracati,Aracati,13,1
Aracati,Assentamento Zumbi Dos Palmares,17,1
Aracati,Aterro,0,1
Aracati,Aterro,12,1
Aracati,Aterro,14,1
Aracati,Aterro,17,2
Aracati,Aterro,18,1
Aracati,Aterro,22,1
Aracati,Aterro,23,1
Aracati,Bairro De Fátima,14,1
Aracati,Bairro De Fátima,20,1
Aracati,Bairro de Fátima,1,1
Aracati,Baixada,20,1
Aracati,Barreira Dos Viana,21,1
Aracati,Beira Rio,14,1
Aracati,Beira Rio,19,1
Aracati,Beira Rio,22,1
Aracati,Cabreiro,17,1
Aracati,Cacimba  Do Povo,22,1
Aracati,Cacimba Do Povo,19,1
Aracati,Cacimba Funda,15,2
Aracati,Cacimba Funda,17,1
Aracati,Cacimba do Povo,6,1
Aracati,Cacimba do Povo,13,1
Aracati,Cacimba do Povo,16,2
Aracati,Cacimba do Povo,20,1
Aracati,Cacimba do Povo,22,1
Aracati,Cajazeiras,13,1
Aracati,Cajazeiras,14,1
Aracati,Cajazeiras,23,1
Aracati,Campo Verde,12,1
Aracati,Campo Verde,22,1
Aracati,CampoVerde,21,1
Aracati,Canoa Quebrada,0,1
Aracati,Canoa Quebrada,4,1
Aracati,Canoa Quebrada,9,1
Aracati,Canoa Quebrada,11,1
Aracati,Canoa Quebrada,14,3
Aracati,Canoa Quebrada,15,5
Aracati,Canoa Quebrada,17,3
Aracati,Canoa Quebrada,18,1
Aracati,Canoa Quebrada,19,2
Aracati,Canoa Quebrada,20,3
Aracati,Canoa Quebrada,21,1
