cidade,bairro,1,2,3,4,5,6,7,8,9,10,11,12
Acopiara,Vila São João,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Acopiara,Vila Umari,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acopiara,Zona Rural,0.5070422535211268,0.7605633802816901,0.6760563380281689,0.8450704225352113,1.2676056338028168,1.1830985915492958,1.0140845070422535,2.028169014084507,1.0140845070422535,1.5211267605633803,0.6760563380281689,0.5070422535211268
Aiuaba,Barra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Aiuaba,Zona Rural,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alcântaras,Zona Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Altaneira,Zona Rural,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amontada,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Amontada,--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amontada,Alto Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Amontada,Amontada,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amontada,Aracatiara,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Amontada,Bairro Flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Amontada,Buenos Aires,0.7142857142857143,0.7142857142857143,0.0,1.4285714285714286,1.4285714285714286,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0
Amontada,Caixa D'água,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Amontada,Caixa D’água,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Amontada,Caixa d'água,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amontada,Campo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amontada,Centro,0.0,0.0,0.0,1.4117647058823528,0.0,0.7058823529411764,0.0,0.7058823529411764,0.0,0.7058823529411764,1.4117647058823528,1.0588235294117647
Amontada,Cruzeiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Amontada,Distrito de Icaraí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
