cidade,bairro,weekday,count
Fortaleza,AUTRAN NUNES,Quarta-feira,2
Fortaleza,AUTRAN NUNES,Segunda-feira,2
Fortaleza,AUTRAN NUNES,Terça-feira,2
Fortaleza,AUTRAN NUNES,Domingo,1
Fortaleza,AUTRAN NUNES,Sexta-feira,1
Fortaleza,BARRA DO CEARÁ,Domingo,26
Fortaleza,BARRA DO CEARÁ,Sábado,26
Fortaleza,BARRA DO CEARÁ,Terça-feira,21
Fortaleza,BARRA DO CEARÁ,Quarta-feira,20
Fortaleza,BARRA DO CEARÁ,Sexta-feira,19
Fortaleza,BARRA DO CEARÁ,Quinta-feira,18
Fortaleza,BARRA DO CEARÁ,Segunda-feira,10
Fortaleza,BARROSO,Domingo,14
Fortaleza,BARROSO,Terça-feira,12
Fortaleza,BARROSO,Sexta-feira,11
Fortaleza,BARROSO,Sábado,11
Fortaleza,BARROSO,Quinta-feira,10
Fortaleza,BARROSO,Quarta-feira,6
Fortaleza,BARROSO,Segunda-feira,5
Fortaleza,BELA VISTA,Quinta-feira,3
Fortaleza,BELA VISTA,Segunda-feira,1
Fortaleza,BELA VISTA,Sexta-feira,1
Fortaleza,BELA VISTA,Sábado,1
Fortaleza,BELA VISTA,Terça-feira,1
Fortaleza,BENFICA,Domingo,2
Fortaleza,BENFICA,Quarta-feira,2
Fortaleza,BENFICA,Sexta-feira,2
Fortaleza,BENFICA,Quinta-feira,1
Fortaleza,BOA VISTA/CASTELÃO,Quarta-feira,9
Fortaleza,BOA VISTA/CASTELÃO,Terça-feira,5
Fortaleza,BOA VISTA/CASTELÃO,Sexta-feira,4
Fortaleza,BOA VISTA/CASTELÃO,Sábado,4
Fortaleza,BOA VISTA/CASTELÃO,Domingo,3
Fortaleza,BOA VISTA/CASTELÃO,Quinta-feira,3
Fortaleza,BOA VISTA/CASTELÃO,Segunda-feira,3
Fortaleza,BOM FUTURO,Sábado,2
Fortaleza,BOM FUTURO,Quinta-feira,1
Fortaleza,BOM JARDIM,Terça-feira,12
Fortaleza,BOM JARDIM,Sexta-feira,11
Fortaleza,BOM JARDIM,Sábado,10
Fortaleza,BOM JARDIM,Domingo,8
Fortaleza,BOM JARDIM,Quarta-feira,5
Fortaleza,BOM JARDIM,Segunda-feira,5
Fortaleza,BOM JARDIM,Quinta-feira,3
Fortaleza,BONSUCESSO,Segunda-feira,9
Fortaleza,BONSUCESSO,Terça-feira,9
Fortaleza,BONSUCESSO,Domingo,6
Fortaleza,BONSUCESSO,Quarta-feira,6
Fortaleza,BONSUCESSO,Sexta-feira,6
Fortaleza,BONSUCESSO,Quinta-feira,5
Fortaleza,BONSUCESSO,Sábado,5
Fortaleza,CAIS DO PORTO,Domingo,10
Fortaleza,CAIS DO PORTO,Segunda-feira,5
Fortaleza,CAIS DO PORTO,Sexta-feira,5
Fortaleza,CAIS DO PORTO,Quarta-feira,2
Fortaleza,CAIS DO PORTO,Sábado,1
Fortaleza,CAJAZEIRAS,Quinta-feira,11
Fortaleza,CAJAZEIRAS,Sábado,6
Fortaleza,CAJAZEIRAS,Quarta-feira,5
Fortaleza,CAJAZEIRAS,Segunda-feira,5
Fortaleza,CAJAZEIRAS,Domingo,4
Fortaleza,CAJAZEIRAS,Sexta-feira,4
Fortaleza,CAMBEBA,Domingo,2
Fortaleza,CAMBEBA,Segunda-feira,2
Fortaleza,CAMBEBA,Sábado,2
Fortaleza,CAMBEBA,Quarta-feira,1
Fortaleza,CAMBEBA,Quinta-feira,1
Fortaleza,CANINDEZINHO,Quarta-feira,10
Fortaleza,CANINDEZINHO,Segunda-feira,8
Fortaleza,CANINDEZINHO,Sexta-feira,8
Fortaleza,CANINDEZINHO,Domingo,6
Fortaleza,CANINDEZINHO,Quinta-feira,6
Fortaleza,CANINDEZINHO,Terça-feira,4
Fortaleza,CANINDEZINHO,Sábado,3
Fortaleza,CARARU,Quinta-feira,1
Fortaleza,CARLITO PAMPLONA,Terça-feira,13
Fortaleza,CARLITO PAMPLONA,Domingo,10
Fortaleza,CARLITO PAMPLONA,Quinta-feira,7
Fortaleza,CARLITO PAMPLONA,Segunda-feira,7
Fortaleza,CARLITO PAMPLONA,Sábado,5
Fortaleza,CARLITO PAMPLONA,Quarta-feira,4
Fortaleza,CARLITO PAMPLONA,Sexta-feira,4
Fortaleza,CENTRO,Sábado,10
Fortaleza,CENTRO,Quarta-feira,6
Fortaleza,CENTRO,Terça-feira,6
Fortaleza,CENTRO,Segunda-feira,5
Fortaleza,CENTRO,Sexta-feira,4
Fortaleza,CENTRO,Domingo,3
Fortaleza,CENTRO,Quinta-feira,3
Fortaleza,CIDADE 2000,Domingo,2
Fortaleza,CIDADE 2000,Quarta-feira,1
Fortaleza,CIDADE 2000,Quinta-feira,1
Fortaleza,CIDADE 2000,Segunda-feira,1
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Quarta-feira,7
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Sexta-feira,5
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Quinta-feira,4
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Segunda-feira,4
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Domingo,3
Fortaleza,CIDADE DOS FUNCIONÁRIOS,Sábado,2
Fortaleza,COAÇU,Sábado,5
Fortaleza,COAÇU,Terça-feira,3
Fortaleza,COAÇU,Domingo,2
Fortaleza,COAÇU,Quinta-feira,2
Fortaleza,COAÇU,Sexta-feira,1
Fortaleza,COCÓ,Terça-feira,3
Fortaleza,COCÓ,Domingo,1
Fortaleza,COCÓ,Quarta-feira,1
Fortaleza,CONJUNTO CEARÁ I,Domingo,2
Fortaleza,CONJUNTO CEARÁ I,Quarta-feira,2
Fortaleza,CONJUNTO CEARÁ I,Sexta-feira,2
Fortaleza,CONJUNTO CEARÁ I,Terça-feira,2
Fortaleza,CONJUNTO CEARÁ I,Quinta-feira,1
