,bairro_id,operacoes_diarias,drogas_gramas_total,armas_total,dinheiro_total_reais,drogas_gramas_total_norm,armas_total_norm,dinheiro_total_reais_norm,drogas_gramas_total_norm_lag1,drogas_gramas_total_norm_lag7,drogas_gramas_total_norm_lag30,armas_total_norm_lag1,armas_total_norm_lag7,armas_total_norm_lag30,dinheiro_total_reais_norm_lag1,dinheiro_total_reais_norm_lag7,dinheiro_total_reais_norm_lag30,drogas_gramas_total_norm_ma7,drogas_gramas_total_norm_ma30,armas_total_norm_ma7,armas_total_norm_ma30,dinheiro_total_reais_norm_ma7,dinheiro_total_reais_norm_ma30,intensity_score,drogas_gramas_total_norm_volatility,armas_total_norm_volatility,dinheiro_total_reais_norm_volatility,day_of_week_sin,day_of_week_cos,month_sin,month_cos
armas_total_norm_ma30,-0.06299407951706075,0.5891056468801342,0.07484956312507357,0.5234478452072114,0.039195982598612976,0.1720431174300663,0.5077711284902723,0.13412145458122,0.17238776871987596,0.17164181031396789,0.15068641118300088,0.5065866234550033,0.5063587010630494,0.43418532552816,0.1338307325023206,0.1339349905711309,0.11568874545239838,0.4111254222558257,0.6400048255613565,0.8598094822702346,1.0,0.3194141657797199,0.47060112207243676,0.43767950667912026,0.3297924775746984,0.5767676522155577,0.284914654196867,0.00044505655090021975,-0.0006463569657957109,-0.027864046541984832,-0.014660079479621448
dinheiro_total_reais_norm_ma7,-0.03799420858920592,0.32816758841242644,0.06375820560457532,0.18366704406045883,0.11470974963048847,0.14824239757161087,0.19196239568628073,0.4214443544566048,0.14548374874212303,0.0681482776335492,0.07087124927126195,0.19058095296415004,0.15386505140539233,0.1336528517530522,0.40152243607539023,0.07820215946960257,0.08313365372777676,0.3466189313360303,0.35605051489131634,0.3235608137384106,0.3194141657797199,1.0,0.6732069958907405,0.3371452868846449,0.3134120631189413,0.2921703596970541,0.9510244316510841,0.0008584452657600157,-0.0010940583484463323,-0.005958216059080296,-0.0012188538437574047
dinheiro_total_reais_norm_ma30,-0.063601022731475,0.4217797301191967,0.05191428927985895,0.2166429987437571,0.07060053290403887,0.12931683992221396,0.23023883177066648,0.2761232655829884,0.1290214036243831,0.1297437781500438,0.10452994399415683,0.229338498744422,0.23077652664322368,0.2134625124765629,0.25626099892459403,0.23517342911942513,0.11790259799940767,0.31266760395465026,0.5157837872760652,0.3945251031056532,0.47060112207243676,0.6732069958907405,1.0,0.29957265255074045,0.2677288410901034,0.31148416750686747,0.559277898068901,-0.0010311966529272455,-0.0024523181953493276,-0.005523236247399063,0.008132578801113118
intensity_score,-0.029386028746843016,0.6180624733989153,0.2765402468815915,0.7057182204160304,0.15629217981992402,0.6875190700051579,0.7706845859445903,0.5796737570641429,0.08249664111044148,0.0830355945319772,0.060321706043047894,0.2176433689462225,0.21420435400274684,0.1941453986234484,0.0663819359811805,0.06555624200948722,0.058672477215647535,0.3894915404860446,0.37046478106630615,0.49309117050318235,0.43767950667912026,0.3371452868846449,0.29957265255074045,1.0,0.3556780578844538,0.40724082614169427,0.3161419309924801,0.000543495782298359,-0.017526164297952035,-0.010397701422518786,-0.014455030927024845
drogas_gramas_total_norm_volatility,-0.017507609287239316,0.2933968393341703,0.1703292540317477,0.18797570007922196,0.032158995811136855,0.4069333249744453,0.19348032024666667,0.1285716875828902,0.409053023175892,0.06933881735847404,0.06175367066931684,0.19695878170723863,0.16356433094002484,0.1531787779164001,0.130053573511601,0.06525568115211867,0.049281028105694444,0.9742564758760798,0.5779094096968843,0.3367771738010139,0.3297924775746984,0.3134120631189413,0.2677288410901034,0.3556780578844538,1.0,0.31513383114876325,0.3073404858492686,0.0002449300401866967,0.0017235501075118678,-0.013631165679264543,-0.032594649382974746
armas_total_norm_volatility,-0.04997017491782941,0.4220175192790796,0.05979058223306672,0.44311249140378867,0.029137948379179376,0.14660909873940575,0.4878758193183305,0.11637508721526349,0.14961794865602,0.09716641834415839,0.08414545379243842,0.485155186467652,0.24268881299421155,0.21649764001051694,0.12328985857165635,0.08356926129717439,0.0648729464217479,0.349779729398892,0.3995230795471595,0.8140651684260743,0.5767676522155577,0.2921703596970541,0.31148416750686747,0.40724082614169427,0.31513383114876325,1.0,0.28515261970675293,0.0012374162195142456,0.0007004081332460738,-0.039422865219425514,-0.04290084912044788
dinheiro_total_reais_norm_volatility,-0.03003867871001216,0.29102795309516144,0.0536940871489398,0.1623089779959767,0.11082048227406438,0.14209828556046097,0.1751313557595245,0.3993913272789418,0.1397639364744235,0.06052191299184235,0.06143984035779645,0.17648596713074224,0.13751434378497032,0.1214060367112281,0.40410732955520823,0.06652441642351556,0.07370028089011614,0.332616518025872,0.32161552064230103,0.29522985841325056,0.284914654196867,0.9510244316510841,0.559277898068901,0.3161419309924801,0.3073404858492686,0.28515261970675293,1.0,0.0008449375644792726,0.0006692259795905536,-0.006200325383250841,-0.008582034563840633
day_of_week_sin,7.983257721119197e-17,0.007749196781326879,0.005999383474626035,-0.0014188679577797653,0.0030905414746676485,0.008323210900534285,-0.00010494327386276068,-0.009309130170635956,-0.0028200568574470474,0.007382327437228658,-0.01111658076828585,-0.012739268209269043,-0.00020069744606723817,-0.01471247386932068,-0.012887107414931695,-0.009453908584269543,-0.00645957778755116,0.0007162139002513589,0.0023273148739341365,0.0003863310586672893,0.00044505655090021975,0.0008584452657600157,-0.0010311966529272455,0.000543495782298359,0.0002449300401866967,0.0012374162195142456,0.0008449375644792726,1.0,-0.0014778408437910008,-0.008249428983340757,-0.004318074580955108
day_of_week_cos,-2.335442394890183e-17,-0.015843622852463997,-0.0032741116302103237,-0.010295642153016935,0.002108503419096583,-0.010025991447610712,-0.015845897585642175,-0.00885652499320243,-0.012066927707711065,-0.010058618682523807,-0.003946499708911043,-0.009116388348237798,-0.01583527193134833,0.004593567779300125,0.0024230597984108535,-0.009350633622153805,0.01220522844101053,0.00048666524938446344,-0.0014147931522720948,0.0005919998699410173,-0.0006463569657957109,-0.0010940583484463323,-0.0024523181953493276,-0.017526164297952035,0.0017235501075118678,0.0007004081332460738,0.0006692259795905536,-0.0014778408437910008,1.0,-0.0013010921856375225,-0.007385879557519048
month_sin,-2.731125759567153e-15,-0.005709738365849668,-0.0030211210375917226,-0.006785420659111528,-0.007139733391523852,-0.005378334883937462,-0.011045311461314114,-0.003209699554535847,-0.005063833226567658,-0.007937303236778033,-0.01193989034790857,-0.011317848554459912,-0.016287195236528,-0.01960193062128868,-0.003347613190369384,-0.004293797847514294,-0.0038061646573694123,-0.013844943646416986,-0.030782355635568685,-0.021048942764771168,-0.027864046541984832,-0.005958216059080296,-0.005523236247399063,-0.010397701422518786,-0.013631165679264543,-0.039422865219425514,-0.006200325383250841,-0.008249428983340757,-0.0013010921856375225,1.0,0.02046120365009939
month_cos,-5.3163174652018214e-15,-0.02506546423113957,-0.0011475236329916822,-0.010117598399999903,0.0001668611744777521,-0.01252820043176982,-0.013642435690723537,-0.0006953268543643546,-0.012576488140243407,-0.013638503703540143,-0.010660504293360485,-0.013906493089174582,-0.015047536270125473,-0.011594013298596823,-0.0013398337628206824,-0.003184902937480738,-0.0017012936428206925,-0.030605751574157413,-0.037570476150719095,-0.022187446331792912,-0.014660079479621448,-0.0012188538437574047,0.008132578801113118,-0.014455030927024845,-0.032594649382974746,-0.04290084912044788,-0.008582034563840633,-0.004318074580955108,-0.007385879557519048,0.02046120365009939,1.0
