bairro,n_high_months,mean_homicide_reduction_next_vs_prev
REDONDA,1,0.0
RENASCER,1,0.0
RIACHINHO,3,-0.3333333333333333
RIO NOVO,1,0.0
RODAGEM DO LAGO,7,0.0
RODOLFO TEÓFILO,4,0.0
RODOVIÁRIA,6,-0.16666666666666666
ROMEIRÃO,3,0.0
SALINAS,2,0.0
SANHARÃO,1,0.0
SANTA CASA,1,0.0
SANTA CECÍLIA,1,0.0
SANTA INÊS,9,-0.1111111111111111
SANTA LUZIA,3,0.3333333333333333
SANTA MARIA,4,0.0
SANTA RITA,3,0.0
SANTA TEREZA,9,-0.1111111111111111
SANTO ANTÔNIO,7,-0.14285714285714285
SANTO SÁTIRO,1,0.0
SAPIRANGA,7,0.0
SEMINÁRIO,10,0.0
SERRINHA,7,-0.14285714285714285
SERROTA,1,0.0
SETOR B,1,0.0
SETOR E,1,0.0
SIQUEIRA,12,0.08333333333333333
SUCATINGA,1,0.0
SUMARÉ,7,0.14285714285714285
SWAT,1,0.0
SÃO BENEDITO,5,0.0
SÃO BERNARDO,1,0.0
SÃO CRISTÓVÃO,4,0.0
SÃO FRANCISCO,13,-0.07692307692307693
SÃO GERARDO,5,0.0
SÃO JOSÉ,21,-0.047619047619047616
SÃO JOÃO,9,0.0
SÃO JOÃO DO TAUAPE,3,0.0
SÃO LUIZ,1,0.0
SÃO LUÍS,1,0.0
SÃO MIGUEL,11,0.09090909090909091
SÃO PEDRO,7,0.42857142857142855
SÃO SEBASTIÃO,6,0.0
SÃO VICENTE,5,0.0
SÍTIO SÃO JOÃO,1,0.0
TABAJARA,1,0.0
TABAPUAZINHO,5,0.0
TABAPUÁ,2,0.0
TABATINGA,2,0.0
TABULEIRO DO CATAVENTO,2,-0.5
TAIBA,2,0.0
TAMARINDO,2,0.0
TAMATANDUBA,2,0.0
TANCREDO NEVES,1,0.0
TAPERA,7,0.0
TEJUBANA,1,0.0
TERRENOS NOVOS,17,-0.11764705882352941
